section,files,text_raster_flag,img_count,magic_number_count,token_ref_count,token_ratio,absolute_count,semantic_score,semantic_tags_list,alt_over_80_count,literal_korean_count,jsx_text_chars,total_alt_chars
AboutHeader,1,0,0,4,7,0.636,0,2,section|h1,0,14,65,0
AboutMission,1,0,2,26,26,0.5,3,3,section|h2|figure,0,80,346,39
AboutOrganizationChart,1,0,0,24,19,0.442,4,3,section|h2|nav,0,21,103,14
AboutOrganizationLogos,1,0,3,10,16,0.615,1,3,section|h2|figure,0,4,109,30
AboutOrganizationPanorama,1,0,1,5,4,0.444,2,3,section|h2|figure,0,4,19,0
AboutOrganizationTabs,1,0,0,2,1,0.333,0,1,section,0,0,0,14
AboutValues,2,0,1,12,14,0.538,2,4,section|h2|article|h3,0,65,288,0
AboutVision,1,0,1,13,9,0.409,0,3,section|h2|figure,0,19,96,0
CertificationBenefits,2,0,2,15,4,0.211,4,2,article|section,0,0,0,0
CertificationFlattenBottom,4,0,8,107,32,0.23,16,6,section|aside|h2|h3|nav|button,0,42,182,51
CertificationHero,1,0,1,3,24,0.889,5,3,section|h1|button,0,21,90,0
CertificationIntro,1,0,0,6,2,0.25,0,1,section,0,0,0,0
CertificationStats,1,0,0,2,10,0.833,1,2,section|h2,0,2,7,0
CertificationSubjects,1,0,0,11,6,0.353,1,3,section|article|h3,0,0,0,0
ContactForm,2,0,0,37,7,0.159,0,3,section|h1|button,0,24,101,10
ContestAbout,2,0,0,18,12,0.4,0,3,article|h3|section,0,9,38,0
ContestBenefits,3,0,1,28,13,0.317,0,5,article|h3|section|aside|button,0,11,57,0
ContestHero,2,0,3,8,22,0.733,1,3,section|h1|button,0,27,130,0
GalleryActivities,1,0,0,6,2,0.25,0,2,section|h2,0,4,10,0
GalleryAgreements,2,0,0,7,7,0.5,0,2,section|h2,0,2,5,0
GalleryTitle,1,0,0,4,9,0.692,0,2,section|h1,0,22,95,0
MainGallery,6,0,7,57,34,0.374,8,5,article|figure|h3|h2|section,0,1,17,0
MainHero,3,0,2,44,26,0.371,4,5,button|article|h3|section|h1,0,23,112,0
MainIntro,5,0,7,64,41,0.39,1,6,article|h3|header|h2|nav|section,0,93,443,61
MainNews,5,0,7,76,32,0.296,12,6,section|article|h3|header|h2|button,0,23,102,12
MainProgramsCard1,1,0,7,34,45,0.57,7,3,section|article|h3,0,6,22,16
MainProgramsCard2,1,1,7,35,38,0.521,7,3,section|article|h3,1,7,27,91
MainProgramsCard3,1,0,7,34,37,0.521,7,3,section|article|h3,0,14,79,23
MainProgramsHeader,1,0,0,12,12,0.5,1,2,section|h2,0,26,108,16
MainStats,3,0,0,81,54,0.4,4,3,section|header|h2,0,73,321,0
NewsDetailArticle,1,0,2,26,16,0.381,1,5,section|article|figure|header|h1,0,378,1838,49
NewsDetailBack,1,0,0,4,11,0.733,0,1,nav,0,2,9,10
NewsDetailBreadcrumb,1,0,0,4,10,0.714,0,1,nav,0,1,4,10
NewsDetailRelated,1,0,2,7,25,0.781,1,4,section|h2|article|h3,0,6,21,0
NewsFeatured,4,0,7,12,15,0.556,2,6,nav|button|section|h2|article|h3,0,2,5,24
NewsList,4,0,8,16,43,0.729,1,6,section|h2|article|h3|nav|button,0,4,7,36
NewsTabs,1,0,0,4,14,0.778,0,2,section|nav,0,2,5,18
NewsTitle,1,0,0,4,9,0.692,1,2,section|h1,0,17,65,0
